Stations,Latitude,Longitude,Altitude,Country,City,Camera,Switch,Status,Last seen
ITMA03,-999.9,-999.9,-999.9,Italy,Ascoli,BASLER1300gm,Unknown,NotOperational,15/05/2022 18:19
ITPI01,45.04124,7.764939,620,Italy,PinoTorinese,DMK 23G445,TL-SG2210P,Operational,31/12/2020 16:37
ITPI02,44.384776,7.540082,559,Italy,Cuneo,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 17:12
ITPI03,44.912736,8.437167,122,Italy,Felizzano,BASLER 1300gm,TL-SG2210P,Operational,28/01/2021 06:14
ITPI04,44.827685,7.258267,571,Italy,LusernaSanGiovanni,BASLER 1300gm,TL-SG2210P,Operational,19/01/2021 01:18
ITPI05,44.92383333,8.61819444,107,Italy,Alessandria,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 17:05
ITPI06,44.61107,7.94396,315,Italy,Barolo,BASLER 1300gm,T1500G-10PS,Operational,26/01/2021 06:16
ITPU01,40.875611,17.147777,312,Italy,CastellanaGrotte,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 19:09
ITPU02,40.335278,18.111235,23,Italy,Lecce,BASLER 1300gm,T1500G-10PS,Operational,27/01/2021 00:20
ITPU03,39.923622,18.366199,94,Italy,Tricase,BASLER 1300gm,T1500G-10PS,Operational,28/01/2021 05:20
ITSA01,39.28195,9.13076,20,Italy,SardiniaRadioTelescope,BASLER 1300gm,T1500G-10PS,Operational,29/01/2021 17:11
ITSA02,40.5826,8.73216,308,Italy,Siligo,None,TL-SG2210P,NotOperational,31/07/2020 12:00
ITSA03,40.1217708,9.2544076,980,Italy,Gennargentu,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
ITSI01,37.939684,14.021338,580,Italy,Isnello,BASLER 1300gm,TL-SG2210P,Operational,27/01/2021 05:20
ITSI02,38.1875483,13.299107,35,Italy,Palermo,BASLER 1300gm,T1500G-10PS,Operational,28/01/2021 04:07
ITSI03,37.691831,14.978864,1725,Italy,SerraLaNave,BASLER 1300gm,T1500G-10PS,Operational,29/01/2021 05:37
ITSI04,37.3999086,13.7347964,530,Italy,Racalmuto,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
ITSI05,-999.9,-999.9,-999.9,Italy,Stromboli,BASLER1300gm,Unknown,NotOperational,15/05/2022 18:19
ITTA01,46.065509,11.140785,500,Italy,Trento,BASLER 1300gm,TL-SG2210P,NotOperational,31/07/2020 12:00
ITTA02,45.8074653,11.0582903,1620,Italy,Rovereto,None,TL-SG2210P,NotOperational,31/07/2020 12:00
ITTO01,44.064155,10.80385,1000,Italy,SanMarcelloPistoiese,BASLER 1300gm,TL-SG2210P,Operational,28/01/2021 06:01
ITTO02,43.6832,10.491633,15,Italy,Navacchio,BASLER 1300gm,TL-SG2210P,Operational,44223.25347
ITTO03,43.75059,11.254372,100,Italy,Arcetri,BASLER 1300gm,T1500G-10PS,Operational,44223.70069
ITTO04,43.755337,11.043198,210,Italy,MontelupoFiorentino,BASLER 1300gm,T1500G-10PS,Operational,44223.70625
ITTO05,43.523099,11.244836,455,Italy,Chianti,BASLER 1300gm,T1500G-10PS,Operational,44223.70278
ITTO06,42.932873,10.498144,100,Italy,Piombino,BASLER 1300gm,T1500G-10PS,Operational,44225.76111
ITTO07,-999.9,-999.9,-999.9,Italy,Radicofani,None,TL-SG2210P,NotOperational,44043.5
ITTO08,42.81712,10.31789,50,Italy,Elba,BASLER1300gm,Unknown,Operational,44696.76323
ITUM01,43.131943,12.319722,644,Italy,Perugia,None,TL-SG2210P,Operational,44215.23889
ITUM02,42.5323056,12.3864722,350,Italy,Amelia,Unknown,Unknown,Operational,44223.70069
ITVA01,45.7898611,7.4783333,1678,Italy,Lignan,BASLER 1300gm,TL-SG2210P,Operational,44223.07292
ITVE01,45.4019454,11.86854083,64,Italy,Padova,BASLER 1300gm,TL-SG2210P,Operational,43851.90972
ITVE02,45.081666,11.795048,15,Italy,Rovigo,BASLER 1300gm,TL-SG2210P,Operational,44225.11667
ITVE03,45.84917,11.56819,1365,Italy,Asiago,BASLER 1300gm,TL-SG2210P,Operational,44224.70069
ITVE04,46.28432,12.03132,600,Italy,Agordo,BASLER 1300gm,T1500G-10PS,Production,44043.5
ITVE05,45.558383,11.534934,39,Italy,Vicenza,BASLER 1300gm,T1500G-10PS,Operational,44225.69931
ITVE06,45.69804,10.85884,1185,Italy,Novezzina,BASLER1300gm,Unknown,Operational,44696.76323
LULU01,-999.9,-999.9,-999.9,Luxembourg,Differdange,BASLER1300gm,Unknown,NotOperational,44696.76323
MACA01,33.540481,-7.657403,20,Morocco,Casablanca,BASLER1300gm,Unknown,Operational,44696.76323
MAMA01,31.53954,-8.11418,520,Morocco,Marrakesh,BASLER 1300gm,T1500G-10PS,Pending,44043.5
MAMA02,32.21845,-7.93574,460,Morocco,BenGuerir,BASLER1300gm,Unknown,Operational,44696.76323
MTMT01,35.902969,14.484132,80,Malta,LaValette,BASLER1300gm,Unknown,Operational,44696.76323
MXBC01,-999.9,-999.9,-999.9,Mexico,SanPedroMartir,BASLER 1300gm,T1500G-10PS,NotOperational,44043.5
MXBC02,-999.9,-999.9,-999.9,Mexico,Ensenada,None,TL-SG2210P,NotOperational,44043.5
NLEN01,52.414965,6.965788,27,Netherlands,Denekamp,BASLER 1300gm,TL-SG2210P,Operational,44223.04167
NLNN01,53.2494583,6.5256694,21,Netherlands,Groningen,DMK 23G445,TL-SG2210P,Operational,44222.85278
NLNN02,52.813041,6.395799,24,Netherlands,Dwingeloo,None,TL-SG2210P,NotOperational,44043.5
NLSN01,51.5538278,5.0764833,23.4,Netherlands,Tilburg,BASLER1300gm,Unknown,Operational,44696.76323
NLWN01,52.21875278,4.41840278,25,Netherlands,Noordwijk,DMK 23G445,TL-SG2210P,Operational,44225.71319
NLWN02,51.57192,3.53767,4,Netherlands,Oostkapelle,BASLER 1300gm,TL-SG2210P,Operational,44221.71181
NLWN03,52.2632,4.4891,5,Netherlands,Noordwijkerhout,BASLER1300gm,Unknown,Operational,44696.76323
ROBC01,46.565651,26.904388,300,Romania,Bacau,Unknown,Unknown,Operational,44225.74861
ROCJ01,46.7102406,23.5937148,749,Romania,Feleac,BASLER1300gm,Unknown,Operational,44696.76323
ROCS01,45.379281,21.7742095,196,Romania,Bocsa,BASLER1300gm,Unknown,Operational,44696.76323
ROCT01,44.020008,28.652588,20,Romania,EforieSud,BASLER1300gm,Unknown,Operational,44696.76323
ROGL01,45.4191328,28.0319187,47,Italy,Galati,BASLER1300gm,Unknown,Operational,44696.76323
ROIF01,44.414,26.0963125,85,Romania,Bucuresti,DMK 23G445,TL-SG2210P,Operational,44224.18056
ROIS01,47.054722,27.2525,250,Romania,Madarjac,Unknown,Unknown,Operational,44220.92292
ROMM01,47.657787,23.563791,250,Romania,BaiaMare,BASLER1300gm,Unknown,Operational,44696.76323
ROOT01,43.8868347,24.3097131,105,Romania,ObarsiaNoua,BASLER1300gm,Unknown,Operational,44696.76323
ROPH01,45.0069166,25.978055,242,Romania,Paulesti,BASLER1300gm,Unknown,Operational,44696.76323
ROSV01,47.64188,26.24525,395,Romania,Suceava,BASLER1300gm,Unknown,Operational,44696.76323
ROTM01,45.7380603,21.2307929,92,Romania,Timisoara,BASLER1300gm,Unknown,Operational,44696.76323
ROVS01,46.23086,27.67142,85,Romania,Barlad,BASLER1300gm,Unknown,Operational,44696.76323
TNTU01,36.880492,10.335108,20,Tunisia,LaMarsa,DMK 23G445,TL-SG2210P,Production,44043.5
VAVA01,41.731651,12.6578331,461,= All =,Vatican,None,TL-SG2210P,NotOperational,44043.5
