Stations,Latitude,Longitude,Altitude,Country,City,Camera,Switch,Status,Last seen
DESH02,54.411448,9.97786,35,Germany,Gettorf,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
DKSD01,54.908907,9.798961,30,Denmark,Sonderborg,BASLER 1300gm,T1500G-10PS,Operational,29/01/2021 06:02
ENGL01,51.637359,-0.169234,87,England,East Barnet,BASLER 1300gm,TL-SG2210P,NotOperational,21/10/2020 22:43
ENNI01,54.35235,-6.649632,75,England,Armagh,BASLER 1300gm,TL-SG2210P,Operational,28/01/2021 22:51
ENNW01,53.474365,-2.233606,69,England,Manchester,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 19:40
ENNW02,53.6390851,-2.1322892,177,England,Rochdale,BASLER 1300gm,T1500G-10PS,NotOperational,31/07/2020 12:00
ENNW03,53.40528,-2.9725,41,England,Liverpool,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
ENSE01,51.5761,-1.30761,200,England,Harwell,BASLER 1300gm,TL-SG2210P,NotOperational,31/07/2020 12:00
ENSE02,51.27356,1.07211,22,England,Canterbury,BASLER 1300gm,TL-SG2210P,Operational,31/12/2020 19:46
ENSE03,50.75718,0.26582,61,England,Eastbourne,BASLER 1300gm,TL-SG2210P,Production,21/10/2020 22:43
ENSE04,51.425699,-0.561371,54,England,RoyalHolloway,BASLER 1300gm,TL-SG2210P,Production,21/06/2021 22:43
ENSW01,50.80177,-3.18441,114,England,Honiton,DMK 23G445,TL-SG2210P,Operational,26/01/2021 00:33
ENSW02,50.99499141,-4.485060128,163.68,England,Hartland,BASLER 1300gm,T1500G-10PS,Operational,09/04/2022 00:00
ESCA01,42.024865,0.736836,820,Spain,Montsec,DMK 23G445,TL-SG2210P,Operational,29/01/2021 17:46
ESCA02,41.391765,2.119061,97.5,Spain,Barcelone,DMK 23G445,TL-SG2210P,Operational,20/01/2021 18:08
ESPV01,43.262257,-2.948512,60,Spain,Bilbao,BASLER 1300gm,T1500G-10PS,Operational,28/01/2021 05:17
FIUU01,43.149088,38.746165,100,Finland,Helsinki,DMK 23G445,DG-108PE,NotOperational,31/07/2020 12:00
FRAL01,48.579825,7.762862,165,France,Strasbourg,BASLER 1300gm,TL-SG2210P,Operational,31/12/2020 23:14
FRAL02,47.99267,7.206581,471,France,Osenbach,DMK 23G445,TL-SG2210P,Operational,29/01/2021 18:26
FRAL03,48.982666,7.021394,229,France,Sarralbe,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 19:39
FRAL04,48.75633,7.567531,191,France,Hochfelden,DMK 23G445,TL-SG2210P,Operational,29/01/2021 18:47
FRAQ01,44.807036,-0.594265,32,France,Talence,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRAQ02,44.149087,-0.746172,85.3,France,Sabres,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRAQ03,43.37744,-1.7493242,87,France,Hendaye,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
FRAQ04,43.693356,-1.030458,36.3,France,Dax,BASLER 1300gm,TL-SG2210P,Operational,28/01/2021 21:47
FRAQ05,42.974571,-0.741999,1687,France,Arette,DMK 23G445,T1500G-10PS,Operational,28/01/2021 01:46
FRAQ06,45.1549485,0.7066134,208,France,Coulounieix,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRAQ07,44.687615,0.644886,113,France,Cavarc,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRAU01,45.772129,2.964573,1465,France,PuydeDome,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
FRAU02,45.133304,4.0548,961,France,SaintJulienduPinet,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 17:46
FRAU03,44.924888,2.43109,690,France,Aurillac,DMK 23G445,TL-SG2210P,Operational,29/01/2021 05:04
FRAU04,46.559871,3.319005,217,France,Moulins,BASLER 1300gm,TL-SG2210P,Operational,26/01/2021 21:00
FRBO01,47.312718,5.073255,285,France,Dijon,DMK 23G445,TL-SG2210P,Operational,29/01/2021 06:00
FRBO02,47.96888,3.50982,130,France,Migennes,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
FRBO03,46.957773,4.029504,688,France,Glux,BASLER 1300gm,TL-SG2210P,Operational,16/01/2021 06:45
FRBO05,46.776202,4.857151,186,France,Chalon,DMK 23G445,TL-SG2210P,Operational,29/01/2021 04:02
FRBO06,47.864769,4.577224,223,France,Chatillon,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
FRBR01,48.408671,-4.504642,66,France,Brest,DMK 23G445,TL-SG2210P,Operational,29/01/2021 19:01
FRBR02,48.105705,-1.674733,100,France,Rennes,DMK 23G445,TL-SG2210P,Operational,26/01/2021 18:45
FRBR03,48.783253,-3.527085,34.5,France,PleumeurBodou,DMK 23G445,TL-SG2210P,Production,21/06/2020 22:07
FRBR04,47.503369,-2.810623,58,France,Vannes,DMK 23G445,TL-SG2210P,Operational,29/01/2021 07:03
FRBR05,47.313333,-3.1867043,57,France,Bangor,None,TL-SG2210P,Production,31/07/2020 12:00
FRBR06,-999.9,-999.9,-999.9,France,Pontivy,None,TL-SG2210P,NotOperational,31/07/2020 12:00
FRCA01,49.243267,4.067164,136.7,France,Reims,BASLER 1300gm,TL-SG2210P,Production,21/05/2020 23:47
FRCA02,48.616524,4.911772,141,France,Valcourt,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 19:25
FRCA03,49.738458,4.720703,187,France,Charleville,BASLER 1300gm,TL-SG2210P,Production,21/10/2020 23:50
FRCA04,48.270024,4.064624,132,France,Troyes,DMK 23G445,TL-SG2210P,Operational,29/01/2021 17:28
FRCE01,47.836332,1.943693,120,France,Orleans,DMK 23G445,TL-SG2210P,Operational,24/12/2020 04:41
FRCE02,47.367857,2.195688,136,France,Nancay,DMK 23G445,TL-SG2210P,Operational,26/01/2021 02:38
FRCE03,47.223431,0.832971,96.7,France,Tauxigny,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRCE04,48.579869,1.532769,165.5,France,Pierres,DMK 23G445,TL-SG2210P,Operational,26/01/2021 19:54
FRCE06,46.52921,1.866338,280,France,LaChatre,DMK 23G445,DG-108PE,Moved,31/07/2020 12:00
FRCE07,46.52921,1.866338,280,France,StDenisDeJouhet,DMK 23G445,TL-SG2210P,Operational,28/01/2021 05:58
FRCO01,42.616786,9.479848,8,France,Biguglia,DMK 23G445,TL-SG2210P,Operational,29/01/2021 06:05
FRCO02,41.599753,9.27118,22,France,PortoVecchio,DMK 23G445,DG-108PE,Production,31/07/2020 12:00
FRCO03,41.878472,8.792768,99.5,France,Ajaccio,BASLER 1300gm,TL-SG2210P,Production,31/07/2020 12:00
FRCO04,41.907781,9.129093,685,France,Zicavo,BASLER 1300gm,T1500G-10PS,Operational,28/01/2021 05:52
FRFC01,47.24691,5.98941,311,France,Besancon,BASLER 1300gm,TL-SG2210P,Operational,19/01/2021 20:32
